Position,Const,Created,Modified,Description,Name,Known For,Birth Date
38,nm0000965,2015-05-12,2015-05-13,"Known For: Shallow Grave, Trainspotting, A Life Less Ordinary, The Beach, 28 Days Later..., Sunshine, Slumdog Millionaire, 127 Hours, Trance

Upcoming Projects: Steve Jobs (2015), Porno (TBA)",Danny Boyle,127 Hours,1956-10-20
39,nm0898288,2015-05-12,2015-05-12,,Denis Villeneuve,Arrival,1967-10-03
40,nm1170855,2015-05-12,2015-05-12,,J.C. Chandor,A Most Violent Year,
41,nm0885249,2015-05-12,2015-05-12,,Jean-Marc Vallée,C.R.A.Z.Y.,1963-03-09
42,nm0094435,2015-05-12,2015-05-12,,Joon-ho Bong,Snowpiercer,1969-09-14
43,nm1490123,2015-05-12,2015-05-12,,James Wan,Saw,1977-02-26
44,nm0230032,2015-05-12,2015-05-12,,Pete Docter,Up,1968-10-09
45,nm2158772,2015-05-12,2015-05-12,,Jeff Nichols,Take Shelter,1978-12-07
46,nm0004306,2015-05-12,2015-05-12,,George Miller,Mad Max: Fury Road,1945-03-03
47,nm0319659,2015-05-12,2015-05-12,,Dan Gilroy,Nightcrawler,1959-06-24
48,nm0668247,2015-05-12,2015-05-12,,Alexander Payne,Nebraska,1961-02-10
49,nm0004716,2015-05-12,2015-05-12,,Darren Aronofsky,Pi,1969-02-12
50,nm0001752,2015-05-12,2015-05-13,,Steven Soderbergh,"Sex, Lies, and Videotape",1963-01-14
51,nm0448768,2015-05-13,2015-05-13,"Known For: The Babadook

Upcoming: TBA",Jennifer Kent,The Babadook,
52,nm0001068,2017-09-12,2017-09-12,,Sofia Coppola,Lost in Translation,1971-05-14
53,nm0420941,2017-09-12,2017-09-12,,Patty Jenkins,Wonder Woman,1971-07-24
54,nm3363032,2017-09-12,2017-09-12,,Ryan Coogler,Creed,1986-05-23
55,nm0169806,2017-09-12,2017-09-12,,Taika Waititi,What We Do in the Shadows,1975-08-16
56,nm0487166,2017-09-12,2017-09-12,,Yorgos Lanthimos,The Lobster,
57,nm0345174,2017-09-12,2017-09-12,,Luca Guadagnino,Call Me by Your Name,
58,nm1443502,2017-09-12,2017-09-12,,Jordan Peele,Keanu,1979-02-21
59,nm0003506,2017-09-12,2017-09-12,,James Mangold,Logan,1963-12-16
60,nm1732981,2017-09-12,2017-09-12,,Martin McDonagh,"Three Billboards Outside Ebbing, Missouri",1970-03-26
61,nm0870469,2017-09-12,2017-09-12,,Dan Trachtenberg,10 Cloverfield Lane,
62,nm1560977,2017-09-12,2017-09-12,,Cary Joji Fukunaga,Beasts of No Nation,1977-07-10
63,nm1099918,2017-09-12,2017-09-12,,Jeremy Saulnier,Blue Ruin,1976-06-10
64,nm0533713,2017-09-12,2017-09-12,,Michelle MacLaren,Breaking Bad,
65,nm0000948,2017-09-12,2017-09-12,,Shane Black,The Nice Guys,1961-12-16
66,nm1108007,2017-09-12,2017-09-12,,David Lowery,A Ghost Story,1980-12-26
67,nm0000916,2017-09-12,2017-09-12,,Peter Berg,Very Bad Things,1964-03-11
68,nm1503575,2017-09-12,2017-09-12,,Barry Jenkins,Moonlight,1979-11-19
69,nm1053530,2017-09-12,2017-09-12,,Tom Ford,A Single Man,1961-08-27
70,nm0518836,2017-09-12,2017-09-12,,Kenneth Lonergan,Manchester by the Sea,1962-10-16
71,nm0138809,2017-09-12,2017-09-12,,John Carney,Sing Street,
72,nm0204628,2017-09-12,2017-09-12,,Garth Davis,Lion,
73,nm1291105,2017-09-12,2017-09-12,,J.A. Bayona,Lo imposible,1975-05-09
74,nm0590122,2017-09-12,2017-09-12,,Mike Mills,Beginners,
75,nm0570912,2017-09-12,2017-09-12,,Adam McKay,The Other Guys,1968-04-17
76,nm0336695,2017-09-12,2017-09-12,,James Gray,The Lost City of Z,1969-04-14
77,nm0510731,2017-09-12,2017-09-12,,Doug Liman,Edge of Tomorrow,1965-07-24
78,nm0500610,2017-09-12,2017-09-12,,David Leitch,The Bourne Ultimatum,
79,nm0048918,2017-09-12,2017-09-12,,Sean Baker,The Florida Project,
80,nm0661791,2017-09-12,2017-09-12,,Chan-wook Park,Ah-ga-ssi,1963-08-23
81,nm0036349,2017-09-12,2017-09-12,,Andrea Arnold,American Honey,1961-04-05
82,nm0000490,2017-09-12,2017-09-12,,Spike Lee,Do the Right Thing,1957-03-20
83,nm0442109,2017-09-12,2017-09-12,,Charlie Kaufman,Anomalisa,1958-11-19
84,nm0000464,2017-09-12,2017-09-12,,Jim Jarmusch,Only Lovers Left Alive,1953-01-22
85,nm0942504,2017-09-12,2017-09-12,,Joe Wright,Pride & Prejudice,1972-08-25
86,nm0000876,2017-09-12,2017-09-12,,Noah Baumbach,The Squid and the Whale,1969-09-03
87,nm2011696,2017-09-12,2017-09-12,,Dee Rees,Mudbound,
88,nm1049433,2017-09-12,2017-09-12,,Lenny Abrahamson,Room,1966-11-30
