Position,Const,Created,Modified,Description,Name,Known For,Birth Date
70,nm0004851,2016-07-12,2016-07-12,,Penélope Cruz,Vicky Cristina Barcelona,1974-04-28
71,nm0000163,2016-07-12,2016-07-12,,Dustin Hoffman,Rain Man,1937-08-08
72,nm0249291,2016-07-12,2016-07-12,,Joel Edgerton,The Gift,1974-06-23
73,nm0227759,2016-07-12,2016-07-12,,Peter Dinklage,Game of Thrones,1969-06-11
74,nm0000226,2016-07-12,2016-07-12,,Will Smith,The Fresh Prince of Bel-Air,1968-09-25
75,nm0000368,2016-07-12,2016-07-12,,Laura Dern,Jurassic Park,1967-02-10
76,nm0000401,2016-07-12,2016-07-12,,Laurence Fishburne,The Matrix,1961-07-30
77,nm3485845,2016-07-12,2016-07-12,,Adam Driver,Star Wars: Episode VII - The Force Awakens,1983-11-19
78,nm0000729,2016-07-12,2016-07-12,,Casey Affleck,Manchester by the Sea,1975-08-12
79,nm0000438,2016-07-29,2016-07-29,,Ed Harris,The Truman Show,1950-11-28
80,nm0654648,2016-07-16,2016-07-16,,David Oyelowo,Selma,1976-04-01
81,nm0370035,2016-07-16,2016-07-16,,John Hawkes,Winter's Bone,1959-09-11
82,nm0117709,2016-07-12,2016-07-12,,Daniel Brühl,Rush,1978-06-16
83,nm0564215,2016-07-16,2016-07-16,,James McAvoy,Filth,1979-04-21
84,nm0000870,2016-07-16,2016-07-16,,Kathy Bates,Misery,1948-06-28
85,nm0000982,2016-07-16,2016-07-16,,Josh Brolin,No Country for Old Men,1968-02-12
86,nm0001557,2016-07-16,2016-07-16,,Viggo Mortensen,The Lord of the Rings: The Return of the King,1958-10-20
87,nm0000129,2016-07-16,2016-07-16,,Tom Cruise,Top Gun,1962-07-03
88,nm1886602,2016-07-29,2016-07-29,,Miles Teller,Fantastic Four,1987-02-20
89,nm0001173,2016-07-16,2016-07-16,,Aaron Eckhart,The Dark Knight,1968-03-12
90,nm0788335,2016-07-29,2016-07-29,,Michael Shannon,Take Shelter,1974-08-07
91,nm0290556,2016-07-12,2016-07-12,,James Franco,127 Hours,1978-04-19
92,nm0316079,2016-07-16,2016-07-16,,Paul Giamatti,Sideways,1967-06-06
93,nm0324658,2016-07-12,2016-07-12,,Walton Goggins,Justified,1971-11-10
94,nm0447695,2016-07-16,2016-07-16,,Anna Kendrick,Up in the Air,1985-08-09
95,nm0000422,2016-07-16,2016-07-16,,John Goodman,10 Cloverfield Lane,1952-06-20
96,nm1475594,2016-07-12,2016-07-12,,Channing Tatum,21 Jump Street,1980-04-26
97,nm0430107,2016-07-29,2016-07-29,,Michael B. Jordan,Creed,1987-02-09
98,nm0000160,2016-07-29,2016-07-29,,Ethan Hawke,Training Day,1970-11-06
99,nm0000335,2016-07-29,2016-07-29,,Glenn Close,Fatal Attraction,1947-03-19
100,nm0001473,2016-07-29,2016-07-29,,Laura Linney,The Big C,1964-02-05
